Player,Team,Pos,PPG,Proj ROS,Rank,Trade Value,2023 FPTS_x,2023 PPG_x,2023 FPTS_y,2023 PPG_y,2023 FPTS,2023 PPG
Andrei Iosivas,CIN,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Theo Johnson,NYG,TE,0.0,0.0,0,0.0,,,,,0.0,0.0
Ja'Tavion Sanders,CAR,TE,0.0,0.0,0,0.0,,,,,0.0,0.0
Adonai Mitchell,IND,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Xavier Legette,CAR,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Ricky Pearsall,SF,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Luke McCaffrey,WAS,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Zach Ertz,WAS,TE,0.0,0.0,0,0.0,,,,,0.0,0.0
Tyler Lockett,FA,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Calvin Ridley,TEN,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Josh Allen,BUF,QB,0.0,0.0,0,0.0,,,,,0.0,0.0
Terry McLaurin,WAS,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Tony Pollard,TEN,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
Justin Herbert,LAC,QB,0.0,0.0,0,0.0,,,,,0.0,0.0
Gabe Davis,JAX,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Jalen Tolbert,DAL,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Alec Pierce,IND,WR,0.0,0.0,0,0.0,,,,,0.0,0.0
Jerome Ford,CLE,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
Kenneth Walker,SEA,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
Bryce Young,CAR,QB,0.0,0.0,0,0.0,,,,,0.0,0.0
Sean Tucker,TB,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
Tyjae Spears,TEN,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
Kendre Miller,NO,RB,0.0,0.0,0,0.0,,,,,0.0,0.0
