Player,Games Missed,Touches Per Game
Joe Burrow,0.0,41.0
Jared Goff,0.0,34.0
Baker Mayfield,0.0,37.0
Geno Smith,0.0,37.0
Sam Darnold,0.0,36.0
Lamar Jackson,0.0,36.0
Patrick Mahomes,1.0,40.0
Aaron Rodgers,0.0,36.0
Justin Herbert,0.0,34.0
Brock Purdy,2.0,35.0
Kyler Murray,0.0,36.0
Bo Nix,0.0,39.0
Matthew Stafford,1.0,34.0
Josh Allen,0.0,34.0
C.J. Stroud,0.0,34.0
Jayden Daniels,0.0,37.0
Caleb Williams,0.0,38.0
Kirk Cousins,3.0,34.0
Jordan Love,2.0,30.0
Jalen Hurts,2.0,34.0
Tua Tagovailoa,6.0,38.0
Russell Wilson,6.0,34.0
Bryce Young,3.0,30.0
Drake Maye,4.0,30.0
Derek Carr,7.0,30.0
Jameis Winston,5.0,27.0
Will Levis,5.0,29.0
Daniel Jones,7.0,41.0
Trevor Lawrence,7.0,31.0
Gardner Minshew II,7.0,32.0
Dak Prescott,9.0,37.0
Cooper Rush,5.0,28.0
Anthony Richardson,6.0,32.0
Joe Flacco,9.0,32.0
Mac Jones,7.0,29.0
Aidan O'Connell,8.0,29.0
Mason Rudolph,9.0,32.0
Spencer Rattler,10.0,35.0
Deshaun Watson,10.0,35.0
Justin Fields,7.0,22.0
Drew Lock,9.0,25.0
Andy Dalton,11.0,28.0
Tyler Huntley,12.0,32.0
Jacoby Brissett,9.0,22.0
Michael Penix,12.0,22.0
Malik Willis,10.0,11.0
Desmond Ridder,11.0,16.0
Dorian Thompson-Robinson,10.0,20.0
Marcus Mariota,14.0,21.0
Joshua Dobbs,15.0,28.0
