Player,Tm,Age,Pos,Games,Games Started,Completions,Pass Atts,Pass Yards,Pass TDs,Interceptions,Passer Rating,Rush Atts,Rush Yards,Rush TDs
Joe Burrow,,28.0,QB,17.0,17.0,460.0,652.0,4918.0,43.0,9.0,108.5,42.0,201.0,2.0
Jared Goff,,30.0,QB,17.0,17.0,390.0,539.0,4629.0,37.0,12.0,111.8,35.0,56.0,0.0
Baker Mayfield,,29.0,QB,17.0,17.0,407.0,570.0,4500.0,41.0,16.0,106.8,60.0,378.0,3.0
Geno Smith,,34.0,QB,17.0,17.0,407.0,578.0,4320.0,21.0,15.0,93.2,53.0,272.0,2.0
Sam Darnold,,27.0,QB,17.0,17.0,361.0,545.0,4319.0,35.0,12.0,102.5,67.0,212.0,1.0
Lamar Jackson,,27.0,QB,17.0,17.0,316.0,474.0,4172.0,41.0,4.0,119.6,139.0,915.0,4.0
Patrick Mahomes,,29.0,QB,16.0,16.0,392.0,581.0,3928.0,26.0,11.0,93.5,58.0,307.0,2.0
Aaron Rodgers,,41.0,QB,17.0,17.0,368.0,584.0,3897.0,28.0,11.0,90.5,22.0,107.0,0.0
Justin Herbert,,26.0,QB,17.0,17.0,332.0,504.0,3870.0,23.0,3.0,101.7,69.0,306.0,2.0
Brock Purdy,,25.0,QB,15.0,15.0,300.0,455.0,3864.0,20.0,12.0,96.1,66.0,323.0,5.0
Kyler Murray,,27.0,QB,17.0,17.0,372.0,541.0,3851.0,21.0,11.0,93.5,78.0,572.0,5.0
Bo Nix,,24.0,QB,17.0,17.0,376.0,567.0,3775.0,29.0,12.0,93.3,92.0,430.0,4.0
Matthew Stafford,,36.0,QB,16.0,16.0,340.0,517.0,3762.0,20.0,8.0,93.7,30.0,41.0,0.0
Josh Allen,,28.0,QB,17.0,17.0,307.0,483.0,3731.0,28.0,6.0,101.4,102.0,531.0,12.0
C.J. Stroud,,23.0,QB,17.0,17.0,336.0,532.0,3727.0,20.0,12.0,87.0,52.0,233.0,0.0
Jayden Daniels,,24.0,QB,17.0,17.0,331.0,480.0,3568.0,25.0,9.0,100.1,148.0,891.0,6.0
Caleb Williams,,23.0,QB,17.0,17.0,351.0,562.0,3541.0,20.0,6.0,87.8,81.0,489.0,0.0
