games_missed,touches_per_game,player
5.22,31.48,Joe Burrow
5.22,31.48,Jared Goff
5.22,31.48,Baker Mayfield
5.22,31.48,Geno Smith
5.22,31.48,Sam Darnold
5.22,31.48,Lamar Jackson
5.22,31.48,Patrick Mahomes
5.22,31.48,Aaron Rodgers
5.22,31.48,Justin Herbert
5.22,31.48,Brock Purdy
5.22,31.48,Kyler Murray
5.22,31.48,Bo Nix
5.22,31.48,Matthew Stafford
5.22,31.48,Josh Allen
5.22,31.48,C.J. Stroud
5.22,31.48,Jayden Daniels
5.22,31.48,Caleb Williams
5.22,31.48,Kirk Cousins
5.22,31.48,Jordan Love
5.22,31.48,Jalen Hurts
5.22,31.48,Tua Tagovailoa
5.22,31.48,Russell Wilson
5.22,31.48,Bryce Young
5.22,31.48,Drake Maye
5.22,31.48,Derek Carr
5.22,31.48,Jameis Winston
5.22,31.48,Will Levis
5.22,31.48,Daniel Jones
5.22,31.48,Trevor Lawrence
5.22,31.48,Gardner Minshew II
5.22,31.48,Dak Prescott
5.22,31.48,Cooper Rush
5.22,31.48,Anthony Richardson
5.22,31.48,Joe Flacco
5.22,31.48,Mac Jones
5.22,31.48,Aidan O'Connell
5.22,31.48,Mason Rudolph
5.22,31.48,Spencer Rattler
5.22,31.48,Deshaun Watson
5.22,31.48,Justin Fields
5.22,31.48,Drew Lock
5.22,31.48,Andy Dalton
5.22,31.48,Tyler Huntley
5.22,31.48,Jacoby Brissett
5.22,31.48,Michael Penix
5.22,31.48,Malik Willis
5.22,31.48,Desmond Ridder
5.22,31.48,Dorian Thompson-Robinson
5.22,31.48,Marcus Mariota
5.22,31.48,Joshua Dobbs
