player,predicted_pass_yards,predicted_pass_tds,predicted_rush_yards,predicted_rush_tds,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Joe Burrow,4803.41,37.92,222.2264743589744,2.81,370.5417999999999,89.7004946648146,89.7004946648146,285.32800000000003,107.25123085540791,5,62.41124934127726,70.07279192903525,76.0,Starter
Jared Goff,4454.11,33.56,56.780123015873016,0.57,315.0981999999996,76.27874752050283,76.27874752050283,278.232,46.999897021163775,5,83.10765948839804,68.33010795995953,75.2,Starter
Baker Mayfield,4433.21,35.96,407.25,3.25,361.5819999999999,87.5315126711561,87.5315126711561,148.16923076923078,103.67853285207586,13,30.026948500649496,36.38840800053803,55.3,Depth
Geno Smith,4360.3,23.78,273.50836007130124,2.410909090909091,292.6872,70.85350862455877,70.85350862455877,224.655,116.90632760177412,4,47.96184056380115,55.17230370246667,59.6,Depth
Sam Darnold,4262.6,33.36,231.201,1.43,326.5185999999996,79.04338980720314,79.04338980720314,186.14499999999998,100.59168073619871,4,45.96057901323994,45.714755837598354,59.1,Depth
Lamar Jackson,4105.04,37.29,852.89,5.64,413.0877999999999,100.0,100.0,327.688,80.76205990438828,5,75.35397705807718,80.47584899358527,87.0,Elite
Patrick Mahomes,3951.32,25.89,288.8959935897436,2.21,297.2692,71.96271591656787,71.96271591656787,354.38,55.75588399442701,5,84.2666392468273,87.03105199563838,80.3,Elite
Aaron Rodgers,3894.53,27.39,123.64,0.56,277.9386000000004,67.28317805560961,67.28317805560961,312.83500000000004,63.72936816465912,4,79.62844056421324,76.82814817725475,73.7,Starter
Justin Herbert,3908.78,25.04,283.16909090909087,2.32,299.9652000000003,72.61536167371692,72.61536167371692,309.284,55.92658831003369,5,81.91740014704682,75.95606943230155,76.1,Starter
Brock Purdy,3838.08,21.87,406.07,3.97,303.23880000000025,73.40783242690787,73.40783242690787,235.24,108.99833576711161,3,53.66505045750634,57.771840034578624,63.0,Streamer
Kyler Murray,3856.26,23.44,510.0794444444445,5.14,320.9018000000005,77.68367886923811,77.68367886923811,275.128,98.68603204101379,5,64.13086574891598,67.56780651689147,70.8,Starter
Bo Nix,3808.37,28.33,460.73,5.17,323.7426,78.37137770711216,78.37137770711216,322.0,0.0,1,100.0,79.07895124610745,84.0,Elite
Matthew Stafford,3767.81,21.87,34.64,0.47,242.22640000000035,58.63799415039621,58.63799415039621,242.872,81.06236808778782,5,66.6234198450122,59.64615853119444,61.0,Streamer
Josh Allen,3664.77,26.64,463.7153706293707,8.456909090909091,334.00900000000007,80.8566604968726,80.8566604968726,407.188,15.28966055869126,5,96.24506112136363,100.0,91.4,Elite
C.J. Stroud,3752.2,21.68,239.85571428571427,0.57,251.12720000000016,60.79269346613485,60.79269346613485,263.2,32.27235349335399,2,87.73846756430902,64.63844710551392,68.9,Streamer
Jayden Daniels,3585.35,23.9,850.67,6.52,349.9979999999999,84.72726621313919,84.72726621313919,358.82,0.0,1,100.0,88.12145741033626,89.7,Elite
Caleb Williams,3563.5,21.21,493.81,1.6742857142857144,277.81980000000044,67.25441903634058,67.25441903634058,264.54,0.0,1,100.0,64.96753342436419,74.6,Starter
Kirk Cousins,3535.62,18.78,3.9,0.46,207.265,50.17456337369441,50.17456337369441,259.036,73.70206157225185,5,71.54756045965524,63.61582364902699,60.2,Streamer
Jordan Love,3350.41,23.67,85.72,1.12,241.92700000000025,58.56551561193536,58.56551561193536,285.46000000000004,65.90235200658624,2,76.9136300092053,70.10520938731005,67.2,Streamer
Jalen Hurts,2869.13,17.175833333333333,623.53,10.73125,301.62499999999994,73.01716487390817,73.01716487390817,306.196,110.40211447250454,5,63.94397245165049,75.19769737811528,71.5,Starter
Tua Tagovailoa,2805.05,19.49,59.0,0.56,190.4007166666668,46.092069692367296,46.092069692367296,211.048,58.57866266824466,5,72.24391494319595,51.83060404530585,54.6,Depth
Russell Wilson,2416.96,14.572777777777778,178.463380952381,2.22,171.51215445887462,41.51954002487477,41.51954002487477,264.788,70.99329207749139,5,73.18862946607186,65.02843895203199,57.7,Depth
Bryce Young,2427.621111111111,13.704257575757577,235.55058333333332,4.2694090909090905,186.5293158608061,45.15488374645926,45.15488374645926,191.2,23.78707211911548,2,87.55906276427505,46.9561971374402,56.4,Depth
Drake Maye,2276.49875,13.3035,444.3223636363636,2.385333333333333,177.8136628282828,43.04500467655613,43.04500467655613,195.14000000000001,0.0,1,100.0,47.92380914958201,59.0,Depth
Derek Carr,2030.1894444444445,13.2845,72.49910861713107,0.89,145.08433333333318,35.121911935751484,35.121911935751484,242.836,55.36350855933896,5,77.20127644527511,59.6373174062104,54.2,Depth
Jameis Winston,2185.4,13.25375,94.1490065934066,1.314166666666667,139.9320888888888,33.874660275343125,33.874660275343125,102.82000000000001,49.12905861096873,3,52.21838345345987,25.251235301629716,35.4,Risky
Will Levis,2127.89,12.91,184.98209523809524,1.080538961038961,145.0865163059164,35.12244038819748,35.12244038819748,126.98,21.156634893101494,2,83.33860865767241,31.184612513138898,45.8,Depth
Daniel Jones,2138.87,9.652,220.2375,1.854619047619048,153.88047442958995,37.25127549871722,37.25127549871722,175.84,83.97239189162114,5,52.24500033321704,43.18398381091781,43.1,Depth
Trevor Lawrence,1956.8377405372407,11.1876819014319,103.59,2.117,143.9047690909092,34.83636386523863,34.83636386523863,243.72500000000002,74.55929430102371,4,69.40843409781185,59.8556440759551,52.2,Depth
Gardner Minshew II,2089.913076923077,10.006666666666666,64.79511936592819,0.3106666666666666,121.76967999999992,29.47791728538097,29.47791728538097,132.21,76.65819634368309,4,42.017853593630115,32.469031503875364,33.7,Risky
Dak Prescott,1861.92626984127,10.73506456043956,62.03,0.9585714285714286,129.08261442279962,31.24822723469433,31.24822723469433,232.81199999999998,107.68064412883126,5,53.74781211178574,57.175555271766356,45.9,Depth
Cooper Rush,1908.0125,11.733578947368422,18.69,0.3742378215654077,122.08227999999994,29.553591270427248,29.553591270427248,89.1,41.662731547511385,2,53.24048139178878,21.881784335491222,32.8,Risky
Anthony Richardson,1727.4271130686188,8.552602339181286,468.49933333333337,5.53090909090909,152.50941452380928,36.919370294598224,36.919370294598224,178.46,0.0,1,100.0,43.8274212403116,55.1,Depth
Joe Flacco,1693.4792678336155,11.07101123876124,25.24,0.4602554112554112,117.64720000000014,28.479950267231363,28.479950267231363,85.07,30.53301382656702,4,64.10836550176245,20.892069510889318,34.7,Risky
Mac Jones,1566.6207567765566,7.109471273824215,80.65146249918664,0.9353296783625732,99.19686617011584,24.013506612907925,24.013506612907925,162.375,60.918891158654546,4,62.48259228115136,39.87715748008291,39.2,Risky
Aidan O'Connell,1560.6841619767658,7.394319917440661,28.78,0.915,96.77000959064311,23.42601490304074,23.42601490304074,119.15,24.98915364713259,2,79.02714776550226,29.261667829110884,39.4,Risky
Mason Rudolph,1382.0159401709402,8.64460628406681,102.29,1.1025,96.56184396464649,23.375622316768133,23.375622316768133,62.080000000000005,60.415203384578625,2,2.6816971465921546,15.246028861361339,15.4,Risky
Spencer Rattler,1317.122,4.5218333333333325,156.02325396825398,0.445,80.18668387445881,19.411535241287403,19.411535241287403,78.28,0.0,1,100.0,19.224535104177924,39.5,Risky
Deshaun Watson,1145.27,5.539119047619048,149.43,1.44,84.83810793650791,20.537548660722475,20.537548660722475,160.85500000000002,146.33886827041772,4,9.024358981280479,39.503865536312475,24.3,Risky
Justin Fields,1108.22,5.1611918030370045,251.86,3.993942307692308,109.83922352941174,26.589800892065018,26.589800892065018,206.275,87.2496607443261,4,57.7022613882687,50.65841822450564,42.8,Depth
Drew Lock,1064.531,5.546153846153846,115.21,1.57,86.070569332422,20.835902036424706,20.835902036424706,114.08,76.41855533834698,3,33.01318840420857,28.016542727192355,26.4,Risky
Andy Dalton,1014.2807142857145,6.296666666666666,33.28242763772175,0.11,68.764696969697,16.64650879781417,16.64650879781417,121.4,53.34397560487345,4,56.05932852926958,29.81423814061318,31.1,Risky
Tyler Huntley,873.3126153846154,4.0121423902894495,147.79819444444445,1.960089743589744,69.24942333333325,16.76385101020492,16.76385101020492,80.15,17.663527394039967,2,77.96191244708784,19.68378242973762,33.1,Risky
Jacoby Brissett,883.71,2.91,80.77,0.57,58.41456305555548,14.140955761839372,14.140955761839372,103.06,70.97680466180483,3,31.130599676779713,25.310176134856626,22.3,Risky
Michael Penix,755.58,3.54,13.70964285714286,0.68,49.22814285714288,11.917113712180047,11.917113712180047,47.1,0.0,1,100.0,11.567138520781556,33.8,Risky
Malik Willis,570.22,3.55,125.2,1.09,48.50663809523816,11.742452354012432,11.742452354012432,53.8,0.0,1,100.0,13.21257011503286,34.3,Risky
Desmond Ridder,445.67,2.4,31.0397380952381,0.11,31.7706666666667,7.6910203270749475,7.6910203270749475,113.33000000000001,120.78798036228605,2,0.0,27.832352623358258,12.8,Risky
Dorian Thompson-Robinson,461.41,0.88,119.92,0.4,29.391400000000026,7.115049149357603,7.115049149357603,23.800000000000004,0.0,1,100.0,5.844965961668812,29.9,Risky
Marcus Mariota,377.59,3.72,77.94133333333333,0.94,42.68588809523816,10.333369345509157,10.333369345509157,126.66,114.40987719598338,2,9.671659329938432,31.106024735503013,17.4,Risky
Joshua Dobbs,400.77,2.57,23.163,1.39,35.954600000000035,8.703863924327962,8.703863924327962,134.68,54.17681258824868,10,59.77367672558253,33.075630912502334,30.0,Risky
