Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
1.0,Sam Howell,23.0,WAS,QB,17.0,17.0,388.0,612.0,4603.0,7.5,1927.0,5.0,3.1,2019.0,5.2,20.0,32.0,1.0,25.0,4.3,88.0,15.2,427.0,73.7,2.4,181.0,39.0,57.0,161.0,22.7,33.0,7.4,77.0,369.0,66.0,345.0,4.0,24.0,67.0,370.0,
2.0,Jared Goff,29.0,DET,QB,17.0,17.0,407.0,605.0,4064.0,6.7,2428.0,6.0,4.0,2147.0,5.3,14.0,27.0,4.0,35.0,6.1,87.0,15.2,461.0,80.3,2.3,212.0,42.0,69.0,141.0,22.0,7.0,4.4,23.0,189.0,22.0,186.0,1.0,3.0,151.0,1415.0,
3.0,Patrick Mahomes,28.0,KAN,QB,16.0,16.0,401.0,597.0,3876.0,6.5,1631.0,4.1,2.7,2552.0,6.4,6.0,29.0,2.0,39.0,6.9,75.0,13.3,457.0,80.7,2.5,133.0,60.0,65.0,152.0,22.6,50.0,8.1,56.0,337.0,51.0,325.0,3.0,12.0,79.0,794.0,"PB,AP MVP-7"
4.0,Dak Prescott,30.0,DAL,QB,17.0,17.0,410.0,590.0,4585.0,7.8,2553.0,6.2,4.3,1963.0,4.8,10.0,10.0,0.0,38.0,6.6,68.0,11.7,479.0,82.6,2.4,163.0,26.0,47.0,112.0,17.0,28.0,6.9,89.0,696.0,80.0,671.0,5.0,25.0,100.0,613.0,"PB,AP-2,AP MVP-2,AP OPoY-5"
5.0,Josh Allen,27.0,BUF,QB,17.0,17.0,385.0,579.0,5032.0,8.7,2337.0,6.1,4.0,1969.0,5.1,7.0,28.0,2.0,31.0,5.6,78.0,14.2,427.0,77.8,2.3,181.0,51.0,51.0,126.0,19.3,50.0,7.6,83.0,675.0,70.0,637.0,9.0,38.0,92.0,929.0,"AP MVP-5,AP OPoY-6"
6.0,Jordan Love,25.0,GNB,QB,17.0,17.0,372.0,579.0,4902.0,8.5,2242.0,6.0,3.9,1917.0,5.2,8.0,18.0,2.0,29.0,5.2,98.0,17.5,428.0,76.6,2.5,215.0,47.0,42.0,119.0,18.8,24.0,8.5,75.0,535.0,63.0,495.0,9.0,40.0,113.0,1105.0,
7.0,Baker Mayfield,28.0,TAM,QB,17.0,17.0,364.0,566.0,4831.0,8.5,2103.0,5.8,3.7,1941.0,5.3,20.0,17.0,0.0,24.0,4.4,81.0,14.8,411.0,74.9,2.4,141.0,37.0,35.0,112.0,17.6,29.0,5.9,59.0,296.0,51.0,284.0,5.0,12.0,95.0,728.0,"PB,AP CPoY-3"
8.0,Trevor Lawrence,24.0,JAX,QB,16.0,16.0,370.0,564.0,4633.0,8.2,2244.0,6.1,4.0,1772.0,4.8,16.0,12.0,0.0,24.0,4.3,104.0,18.8,410.0,74.3,2.2,158.0,39.0,42.0,116.0,18.1,42.0,7.9,77.0,510.0,65.0,449.0,10.0,61.0,85.0,875.0,
9.0,Tua Tagovailoa,25.0,MIA,QB,17.0,17.0,388.0,560.0,4290.0,7.7,2447.0,6.3,4.4,2177.0,5.6,9.0,14.0,2.0,24.0,4.4,78.0,14.3,430.0,79.0,2.1,116.0,39.0,27.0,95.0,15.7,15.0,5.3,111.0,1073.0,105.0,1069.0,1.0,4.0,126.0,1145.0,"PB,AP CPoY-5"
10.0,Derek Carr,32.0,NOR,QB,17.0,17.0,375.0,548.0,4280.0,7.8,2182.0,5.8,4.0,1696.0,4.5,5.0,25.0,0.0,20.0,3.8,80.0,15.3,417.0,79.7,2.3,172.0,24.0,35.0,90.0,15.3,9.0,5.7,23.0,114.0,23.0,114.0,0.0,0.0,87.0,813.0,
11.0,Jalen Hurts,25.0,PHI,QB,17.0,17.0,352.0,538.0,4656.0,8.7,2161.0,6.1,4.0,1697.0,4.8,14.0,35.0,0.0,19.0,3.8,72.0,14.3,397.0,78.9,2.6,185.0,59.0,29.0,124.0,20.0,47.0,6.8,116.0,582.0,89.0,498.0,20.0,84.0,81.0,646.0,PB
12.0,Bryce Young,22.0,CAR,QB,16.0,16.0,315.0,527.0,3980.0,7.6,1572.0,5.0,3.0,1305.0,4.1,6.0,46.0,1.0,23.0,4.8,103.0,21.5,352.0,73.3,2.5,166.0,38.0,50.0,150.0,24.2,31.0,8.4,31.0,149.0,26.0,145.0,1.0,4.0,81.0,589.0,
13.0,Matthew Stafford,35.0,LAR,QB,15.0,15.0,326.0,521.0,4033.0,7.7,2075.0,6.4,4.0,1890.0,5.8,8.0,22.0,3.0,33.0,6.7,94.0,19.0,372.0,75.0,2.5,172.0,27.0,43.0,100.0,17.7,13.0,5.5,20.0,157.0,19.0,157.0,0.0,0.0,97.0,1013.0,"PB,AP MVP-8,AP CPoY-4"
14.0,Geno Smith,33.0,SEA,QB,15.0,15.0,323.0,499.0,3500.0,7.0,1910.0,5.9,3.8,1714.0,5.3,18.0,21.0,4.0,24.0,5.1,69.0,14.6,358.0,75.5,2.4,145.0,63.0,46.0,140.0,25.5,20.0,7.9,49.0,493.0,45.0,483.0,3.0,10.0,113.0,1115.0,PB
