Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Derrick Henry,26.0,RB,16.0,16.0,378.0,2027.0,17.0,3.0,31.0,19.0,114.0,0.0,3.0
Dalvin Cook,25.0,RB,14.0,14.0,312.0,1557.0,16.0,5.0,54.0,44.0,361.0,1.0,5.0
Alvin Kamara,25.0,RB,15.0,10.0,187.0,932.0,16.0,1.0,107.0,83.0,756.0,5.0,1.0
David Montgomery,23.0,RB,15.0,14.0,247.0,1070.0,8.0,1.0,68.0,54.0,438.0,2.0,1.0
Jonathan Taylor,21.0,RB,15.0,13.0,232.0,1169.0,11.0,1.0,39.0,36.0,299.0,1.0,1.0
Aaron Jones,26.0,RB,14.0,14.0,201.0,1104.0,9.0,2.0,63.0,47.0,355.0,2.0,2.0
James Robinson,22.0,RB,14.0,14.0,240.0,1070.0,7.0,3.0,60.0,49.0,344.0,3.0,3.0
Ezekiel Elliott,25.0,RB,15.0,15.0,244.0,979.0,6.0,6.0,71.0,52.0,338.0,2.0,6.0
Josh Jacobs,22.0,RB,15.0,15.0,273.0,1065.0,12.0,2.0,45.0,33.0,238.0,0.0,2.0
Nick Chubb,25.0,RB,12.0,12.0,190.0,1067.0,12.0,1.0,18.0,16.0,150.0,0.0,1.0
Kareem Hunt,25.0,RB,16.0,5.0,198.0,841.0,6.0,2.0,51.0,38.0,304.0,5.0,2.0
Melvin Gordon,27.0,RB,15.0,10.0,215.0,986.0,9.0,4.0,44.0,32.0,158.0,1.0,4.0
Ronald Jones II,23.0,RB,14.0,13.0,192.0,978.0,7.0,2.0,42.0,28.0,165.0,1.0,2.0
Clyde Edwards-Helaire,21.0,RB,13.0,13.0,181.0,803.0,4.0,0.0,54.0,36.0,297.0,1.0,0.0
Kenyan Drake,26.0,RB,15.0,13.0,239.0,955.0,10.0,3.0,31.0,25.0,137.0,0.0,3.0
Miles Sanders,23.0,RB,12.0,11.0,164.0,867.0,6.0,4.0,52.0,28.0,197.0,0.0,4.0
Antonio Gibson,22.0,RB,14.0,10.0,170.0,795.0,11.0,1.0,44.0,36.0,247.0,0.0,1.0
Mike Davis,27.0,RB,15.0,12.0,165.0,642.0,6.0,1.0,70.0,59.0,373.0,2.0,1.0
David Johnson,29.0,RB,12.0,12.0,147.0,691.0,6.0,2.0,46.0,33.0,314.0,2.0,2.0
Myles Gaskin,23.0,RB,10.0,7.0,142.0,584.0,3.0,2.0,47.0,41.0,388.0,2.0,2.0
Chris Carson,26.0,RB,12.0,12.0,141.0,681.0,5.0,1.0,46.0,37.0,287.0,4.0,1.0
Devin Singletary,23.0,RB,16.0,16.0,156.0,687.0,2.0,1.0,50.0,38.0,269.0,0.0,1.0
J.D. McKissic,27.0,RB,16.0,7.0,85.0,365.0,1.0,3.0,110.0,80.0,589.0,2.0,3.0
James Conner,25.0,RB,13.0,11.0,169.0,721.0,6.0,2.0,43.0,35.0,215.0,0.0,2.0
Austin Ekeler,25.0,RB,10.0,10.0,116.0,530.0,1.0,1.0,65.0,54.0,403.0,2.0,1.0
J.K. Dobbins,22.0,RB,15.0,1.0,134.0,805.0,9.0,2.0,24.0,18.0,120.0,0.0,2.0
D'Andre Swift,21.0,RB,13.0,4.0,114.0,521.0,8.0,3.0,57.0,46.0,357.0,2.0,3.0
Nyheim Hines,24.0,RB,16.0,2.0,89.0,380.0,3.0,0.0,76.0,63.0,482.0,4.0,0.0
Gus Edwards,25.0,RB,16.0,6.0,144.0,723.0,6.0,1.0,13.0,9.0,129.0,0.0,1.0
Chase Edmonds,24.0,RB,16.0,2.0,97.0,448.0,1.0,2.0,67.0,53.0,402.0,4.0,2.0
Todd Gurley,26.0,RB,15.0,15.0,195.0,678.0,9.0,2.0,35.0,25.0,164.0,0.0,2.0
Latavius Murray,30.0,RB,15.0,7.0,146.0,656.0,4.0,1.0,26.0,23.0,176.0,1.0,1.0
Wayne Gallman,26.0,RB,15.0,10.0,147.0,682.0,6.0,1.0,27.0,21.0,114.0,0.0,1.0
Darrell Henderson,23.0,RB,15.0,11.0,138.0,624.0,5.0,0.0,24.0,16.0,159.0,1.0,0.0
Giovani Bernard,29.0,RB,16.0,10.0,124.0,416.0,3.0,1.0,59.0,47.0,355.0,3.0,1.0
Cam Akers,21.0,RB,13.0,5.0,145.0,625.0,2.0,1.0,14.0,11.0,123.0,1.0,1.0
Damien Harris,23.0,RB,10.0,10.0,137.0,691.0,2.0,1.0,7.0,5.0,52.0,0.0,1.0
Frank Gore,37.0,RB,15.0,14.0,187.0,653.0,2.0,1.0,19.0,16.0,89.0,0.0,1.0
Jamaal Williams,25.0,RB,14.0,3.0,119.0,505.0,2.0,0.0,35.0,31.0,236.0,1.0,0.0
Jeff Wilson,25.0,RB,12.0,3.0,126.0,600.0,7.0,2.0,28.0,13.0,133.0,3.0,2.0
Adrian Peterson,35.0,RB,16.0,10.0,156.0,604.0,7.0,0.0,18.0,12.0,101.0,0.0,0.0
Raheem Mostert,28.0,RB,8.0,8.0,104.0,521.0,2.0,1.0,19.0,16.0,156.0,1.0,1.0
Brian Hill,25.0,RB,16.0,1.0,100.0,465.0,1.0,2.0,30.0,25.0,199.0,0.0,2.0
Tony Pollard,23.0,RB,16.0,2.0,101.0,435.0,4.0,0.0,40.0,28.0,193.0,1.0,0.0
Leonard Fournette,25.0,RB,13.0,3.0,97.0,367.0,6.0,0.0,47.0,36.0,233.0,0.0,0.0
Boston Scott,25.0,RB,16.0,4.0,80.0,374.0,1.0,2.0,36.0,25.0,212.0,1.0,2.0
Malcolm Brown,27.0,RB,16.0,0.0,101.0,419.0,5.0,1.0,33.0,23.0,162.0,0.0,1.0
Zack Moss,23.0,RB,13.0,0.0,112.0,481.0,4.0,0.0,18.0,14.0,95.0,1.0,0.0
Jerick McKinnon,28.0,RB,16.0,4.0,81.0,319.0,5.0,0.0,46.0,33.0,253.0,1.0,0.0
Joe Mixon,24.0,RB,6.0,6.0,119.0,428.0,3.0,1.0,26.0,21.0,138.0,1.0,1.0
