rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
9.0,Aaron Jones,30.0,17.0,17.0,255.0,1138.0,5.0,49.0,49.8,41.0,4.5,66.9,15.0,5.0,,73.0,30.0,17.0,17.0,62.0,51.0,408.0,8.0,2.0,20.0,58.1,25.0,3.0,24.0,82.3,6.6,5.0,
199.0,Aaron Shampklin,25.0,3.0,0.0,6.0,17.0,0.0,1.0,16.7,5.0,2.8,5.7,2.0,0.0,,565.0,25.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
39.0,Alexander Mattison,26.0,14.0,7.0,132.0,420.0,4.0,25.0,35.6,24.0,3.2,30.0,9.4,1.0,,133.0,26.0,14.0,7.0,48.0,36.0,294.0,8.2,1.0,13.0,35.4,31.0,2.6,21.0,75.0,6.1,1.0,
17.0,Alvin Kamara,29.0,14.0,14.0,228.0,950.0,6.0,52.0,51.3,24.0,4.2,67.9,16.3,1.0,,35.0,29.0,14.0,14.0,89.0,68.0,543.0,8.0,2.0,18.0,36.0,57.0,4.9,38.8,76.4,6.1,1.0,
70.0,Ameer Abdullah,31.0,16.0,3.0,66.0,311.0,2.0,14.0,50.0,40.0,4.7,19.4,4.1,2.0,,111.0,31.0,16.0,3.0,47.0,40.0,261.0,6.5,3.0,16.0,59.6,24.0,2.5,16.3,85.1,5.6,2.0,
40.0,Antonio Gibson,26.0,17.0,3.0,120.0,538.0,1.0,24.0,45.0,45.0,4.5,31.6,7.1,2.0,,184.0,26.0,17.0,3.0,29.0,23.0,206.0,9.0,0.0,11.0,51.7,50.0,1.4,12.1,79.3,7.1,2.0,
61.0,Audric Estime,21.0,13.0,1.0,76.0,310.0,2.0,15.0,51.3,21.0,4.1,23.8,5.8,2.0,,337.0,21.0,13.0,1.0,5.0,5.0,27.0,5.4,0.0,2.0,40.0,13.0,0.4,2.1,100.0,5.4,2.0,
60.0,Austin Ekeler,29.0,12.0,6.0,77.0,367.0,4.0,19.0,51.9,50.0,4.8,30.6,6.4,3.0,AP-2,137.0,29.0,12.0,6.0,41.0,35.0,366.0,10.5,0.0,14.0,53.7,34.0,2.9,30.5,85.4,8.9,3.0,AP-2
4.0,Bijan Robinson,22.0,17.0,17.0,304.0,1456.0,14.0,82.0,60.2,37.0,4.8,85.6,17.9,1.0,PB,52.0,22.0,17.0,17.0,72.0,61.0,431.0,7.1,1.0,20.0,41.7,29.0,3.6,25.4,84.7,6.0,1.0,PB
76.0,Blake Corum,24.0,17.0,1.0,58.0,207.0,0.0,12.0,43.1,12.0,3.6,12.2,3.4,0.0,,305.0,24.0,17.0,1.0,8.0,7.0,58.0,8.3,0.0,5.0,87.5,12.0,0.4,3.4,87.5,7.3,0.0,
