player,predicted_rush_yds,predicted_rush_tds,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Aaron Jones,1139.08,4.965,406.22,2.0,51.42416666666666,251.786484126984,72.36372128175515,72.36372128175515,93.4,26.688949023893766,5.0,71.4251084174038,64.41379310344828,69.3,Flex
Aaron Shampklin,113.46,1.9008333333333327,13.58,0.0,6.2,68.15258333333333,19.58712979397922,19.58712979397922,,,,,,20.3,Risky
Alexander Mattison,417.42,4.0,295.73,1.0,35.97,141.26566666666653,40.599912917456074,40.599912917456074,56.666666666666664,9.018499505645789,3.0,84.08500115324271,39.08045977011494,50.9,Depth
Alvin Kamara,949.23,6.007486291486291,543.19,2.0289230769230766,67.86280130980131,261.73493376068353,75.22291699662735,75.22291699662735,123.6,49.58628842734653,5.0,59.88164399177754,85.24137931034483,74.9,Starter
Ameer Abdullah,309.51,1.97,260.66,3.01,39.87,129.02800000000013,37.08279362935698,37.08279362935698,70.0,0.0,1.0,100.0,48.275862068965516,56.7,Depth
Antonio Gibson,536.69,1.1,205.84,0.0,23.04166666666667,105.56599999999987,30.33978820315505,30.33978820315505,75.0,30.23243291566195,5.0,59.690089983249536,51.724137931034484,45.2,Depth
Audric Estime,308.92,1.87,24.62,0.0,6.32,87.09616666666672,25.031537142388306,25.031537142388306,,,,,,22.5,Risky
Austin Ekeler,370.28,4.05,366.59,0.0366666666666666,34.88,130.03433333333328,37.37201497140937,37.37201497140937,124.6,72.34155099249669,5.0,41.94097077696115,85.93103448275862,55.5,Depth
Bijan Robinson,1479.45,14.12,436.02,1.054,62.07495238095238,329.86000000000024,94.80213834655802,94.80213834655802,128.5,31.81980515339464,2.0,75.23750590990686,88.62068965517241,87.7,Elite
Blake Corum,207.03,1.21,54.36,0.0,7.1,76.26161904761902,21.917675860925474,21.917675860925474,,,,,,21.3,Risky
Blake Watson,101.1,1.8446428571428573,14.46,0.4921904761904762,6.24,69.29128571428573,19.91439415053838,19.91439415053838,,,,,,20.5,Risky
Braelon Allen,326.41,1.93,151.16,0.9433333333333332,17.832777777777782,98.29266666666668,28.249423948903896,28.249423948903896,,,,,,23.8,Risky
Breece Hall,872.55,4.99,481.85,3.04,58.05826190476191,244.07366666666687,70.14704879065367,70.14704879065367,117.5,17.67766952966369,2.0,84.95517499641238,81.03448275862068,77.7,Starter
Brian Robinson Jr.,799.25,7.91,159.01,0.0,20.04,165.54666666666645,47.57829987311231,47.57829987311231,61.666666666666664,31.973947728319903,3.0,48.15035587596195,42.5287356321839,46.0,Depth
British Brooks,119.77,1.9001190476190477,14.22,0.0,6.2,68.10641666666666,19.57386144158629,19.57386144158629,,,,,,20.3,Risky
Bucky Irving,1122.24,7.883136363636364,391.01,0.01,46.95,244.26278571428583,70.20140181956394,70.20140181956394,95.0,0.0,1.0,100.0,65.51724137931035,76.0,Starter
Cam Akers,443.79,2.0,68.47,3.01,14.036666666666664,93.66500000000002,26.91942729712712,26.91942729712712,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,38.4,Risky
Cam Akers,443.28,2.03,17.29,2.7248333333333337,14.0,91.52094444444448,26.30322329724692,26.30322329724692,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,38.2,Risky
Cam Akers,443.86,1.99,52.2,2.94,14.04,93.20500000000013,26.787222775089266,26.787222775089266,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,38.4,Risky
Cam Akers,146.0,2.0044444444444447,67.65,3.021818181818182,13.97,68.60300000000001,19.71658005514132,19.71658005514132,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,35.5,Risky
Cam Akers,146.9,2.0342857142857143,17.29,2.91475,13.98,62.56216666666676,17.980437699611223,17.980437699611223,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,34.8,Risky
Cam Akers,146.1,2.0642857142857145,52.42,2.94,14.035,66.20827777777772,19.02833417078828,19.02833417078828,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,35.3,Risky
Cam Akers,298.85,1.86,67.99,3.0,13.943333333333332,80.61699999999999,23.169417289409026,23.169417289409026,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,36.9,Risky
Cam Akers,299.52,2.01,17.05,2.810416666666667,13.973333333333333,74.6581111111112,21.456825860208145,21.456825860208145,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,36.2,Risky
Cam Akers,299.39,1.98,52.3,2.95,14.061666666666666,78.04199999999996,22.429359367131728,22.429359367131728,42.666666666666664,13.051181300301263,3.0,69.4112945443417,29.42528735632184,36.6,Risky
Carson Steele,210.98,1.11,25.92,0.0,6.82,74.97750000000005,21.548618589338062,21.548618589338062,,,,,,21.1,Risky
Chase Brown,988.17,6.961666666666668,359.41,4.011349206349206,54.567,249.67791666666665,71.7577166007206,71.7577166007206,120.0,0.0,1.0,100.0,82.75862068965517,82.7,Elite
Chris Brooks,210.27,1.42,61.51,0.0,12.886666666666668,77.22190476190472,22.1936630650058,22.1936630650058,,,,,,21.4,Risky
Chris Collier,114.36,1.8375,14.75,0.0,6.13,67.54100000000007,19.41136004991474,19.41136004991474,,,,,,20.3,Risky
Chris Rodriguez,198.25,2.03,18.98,0.2386666666666666,6.19,73.87703571428573,21.2323439047454,21.2323439047454,,,,,,21.0,Risky
Christian McCaffrey,200.65,4.138018231768231,145.18,0.2841666666666667,15.525714285714288,79.01759523809524,22.709746545729168,22.709746545729168,116.9,43.907605010724254,10.0,62.44003025224589,80.62068965517241,52.9,Depth
Chuba Hubbard,1189.73,9.96,170.68,1.035,42.8,249.37319191919167,71.67013836247486,71.67013836247486,79.66666666666667,25.716402029314544,3.0,67.71999785793157,54.94252873563219,64.8,Flex
Clyde Edwards-Helaire,102.99,1.8008333333333335,17.42,0.01,6.785,70.10816666666669,20.149166663302243,20.149166663302243,60.5,7.7781745930520225,2.0,87.14351328183942,41.724137931034484,44.4,Depth
Cody Schrader,111.31,1.893333333333333,12.84,0.0,6.68,67.0157976190476,19.26041628959522,19.26041628959522,,,,,,20.2,Risky
Cordarrelle Patterson,151.35,1.55,74.73,1.1366666666666665,13.701285714285714,79.12583333333329,22.740854297136206,22.740854297136206,93.5,34.64823227814083,2.0,62.94306747853315,64.48275862068965,47.4,Depth
Craig Reynolds,174.02,1.3,45.52,0.1803333333333333,6.17,74.64900000000003,21.454207316534916,21.454207316534916,,,,,,21.1,Risky
D'Andre Swift,960.27,5.996666666666667,387.12,0.01,41.63,217.46166666666656,62.49872978962709,62.49872978962709,91.8,14.498275759551547,5.0,84.20667145793217,63.310344827586206,68.2,Flex
D'Ernest Johnson,182.32,1.26,93.99,0.01,14.11595238095238,80.48923809523808,23.132698372987942,23.132698372987942,37.0,0.0,1.0,100.0,25.517241379310345,43.2,Depth
D'Onta Foreman,242.53,1.58,45.15,0.0,6.35,74.12883333333332,21.304710826215974,21.304710826215974,31.0,5.656854249492381,2.0,81.75208365479607,21.379310344827587,36.4,Risky
Dalvin Cook,100.86,1.9443223443223443,15.66,0.4050000000000001,6.06,67.47396428571429,19.392093909552525,19.392093909552525,105.0,38.353617821530214,3.0,63.47274527975459,72.41379310344827,49.0,Depth
Dameon Pierce,248.61,1.98,19.07,0.0,6.1,76.06716666666671,21.861790025962584,21.861790025962584,60.0,0.0,1.0,100.0,41.37931034482759,48.2,Depth
Dare Ogunbowale,168.33,1.07,198.11,1.1166666666666665,17.298666666666662,85.71459523809523,24.63447194591985,24.63447194591985,,,,,,22.4,Risky
Darrynton Evans,119.77,2.032619047619048,14.38,0.0,6.14,68.10641666666666,19.57386144158629,19.57386144158629,,,,,,20.3,Risky
David Montgomery,773.57,11.99,340.71,0.0316666666666666,36.01,205.4623333333333,59.05010777200409,59.05010777200409,94.0,17.832554500127006,5.0,81.02919754210747,64.82758620689654,66.6,Flex
De'Von Achane,905.78,5.869741258741259,589.0,6.2,75.36457864357864,282.3830865800869,81.15721954978915,81.15721954978915,121.5,40.30508652763321,2.0,66.8270895506962,83.79310344827586,78.5,Starter
DeeJay Dallas,170.66,1.3125,19.84,1.7301666666666664,6.2,72.2189166666667,20.75579860871847,20.75579860871847,,,,,,20.8,Risky
Derrick Henry,1857.67,16.08,192.65,2.07,18.532666666666668,334.2230000000002,96.05606949797385,96.05606949797385,107.4,19.37266114915553,5.0,81.96214062497492,74.06896551724138,84.8,Elite
Deuce Vaughn,148.06,1.7825,17.48,0.0,6.17,68.20476190476195,19.602125974623437,19.602125974623437,,,,,,20.3,Risky
Devin Singletary,436.09,4.0,119.03,0.0,20.82,102.26733333333348,29.39174765961389,29.39174765961389,62.2,18.143869488066763,5.0,70.82979228880275,42.896551724137936,44.5,Depth
Dylan Laube,169.72,1.7358333333333331,18.22,0.0,6.21,72.75586904761909,20.910119332372638,20.910119332372638,,,,,,20.9,Risky
Emanuel Wilson,502.86,4.0,51.28,1.1708333333333334,11.411333333333332,103.52500000000003,29.753202486895695,29.753202486895695,41.0,0.0,1.0,100.0,28.27586206896552,46.8,Depth
Emari Demercado,215.98,1.555,97.37,0.0066666666666666,16.18204761904762,80.5877380952381,23.161007384772144,23.161007384772144,,,,,,21.8,Risky
Eric Gray,146.86,1.3358333333333332,70.47,0.015,11.723,76.12516666666664,21.878459291784736,21.878459291784736,,,,,,21.3,Risky
Ezekiel Elliott,220.02,3.06,64.93,0.0,13.86161904761905,80.6353095238095,23.174679467330712,23.174679467330712,97.25,16.459546368799682,4.0,83.07501676138833,67.06896551724138,53.5,Depth
George Holani,118.87,1.7972619047619047,14.43,0.0,6.29,66.17925000000005,19.01999155451237,19.01999155451237,,,,,,20.1,Risky
Gus Edwards,372.2,4.05,21.89,0.0,5.97,89.44383333333333,25.706259206672943,25.706259206672943,67.5,31.81980515339464,2.0,52.85954861927389,46.55172413793103,39.8,Risky
Hassan Haskins,170.4,1.9733333333333332,45.48,1.4766666666666668,6.3,77.85728571428575,22.37627227179169,22.37627227179169,,,,,,21.5,Risky
Hunter Luepke,143.9,1.0983333333333334,113.89,0.130047619047619,13.947047619047622,80.8548333333333,23.237770859317738,23.237770859317738,,,,,,21.8,Risky
Isaac Guerendo,415.66,4.01,152.62,0.0,14.971666666666668,96.75700000000006,27.80807160612961,27.80807160612961,39.0,0.0,1.0,100.0,26.89655172413793,45.5,Depth
Isaiah Davis,201.79,1.24,66.92,1.0925,10.923,80.41290476190474,23.110760086359917,23.110760086359917,,,,,,21.7,Risky
Isiah Pacheco,302.18,1.854,74.29,0.0,13.926333333333332,88.66666666666666,25.482900624693723,25.482900624693723,70.5,38.890872965260115,2.0,44.83564196650137,48.62068965517241,38.4,Risky
J.J. Taylor,120.67,2.078095238095238,15.25,0.0,6.21,67.78816666666671,19.482396030415526,19.482396030415526,,,,,,20.3,Risky
J.K. Dobbins,905.45,9.02,153.34,0.0,31.99,184.30849999999984,52.970472065259685,52.970472065259685,79.0,9.899494936611665,2.0,87.46899390974481,54.48275862068965,62.1,Flex
Jacob Kibodi,119.69,2.222655677655678,16.24,0.5886904761904762,6.735,69.0729523809524,19.85164490275953,19.85164490275953,,,,,,20.4,Risky
Jahmyr Gibbs,1453.05,15.98,523.85,3.936040764790765,52.74049999999999,347.9457380952383,100.0,100.0,145.0,38.18376618407357,2.0,73.66636833052603,100.0,93.4,Elite
Jaleel McLaughlin,493.72,1.17,74.83,2.14,24.00771428571428,100.23766666666673,28.80841915621627,28.80841915621627,45.5,4.949747468305833,2.0,89.12143437468093,31.379310344827587,44.8,Depth
Jamaal Williams,194.57,1.54,54.34,0.0,8.48,77.49883333333331,22.27325265071091,22.27325265071091,69.0,39.05124837953327,3.0,43.40398867598093,47.58620689655172,36.4,Risky
James Conner,1094.5,7.773731601731603,412.13,1.01,46.99,255.97912223887187,73.56869023318984,73.56869023318984,98.4,28.50964748992874,5.0,71.02678130061327,67.86206896551724,70.9,Starter
James Cook,1007.57,15.86,258.52,2.0,31.97,253.38700000000028,72.82371136002942,72.82371136002942,110.0,42.42640687119285,2.0,61.43053955863795,75.86206896551724,71.0,Starter
Jamycal Hasty,153.74,1.5158333333333331,55.9,1.114,11.679285714285715,75.6295,21.736004129270004,21.736004129270004,,,,,,21.2,Risky
Jase McClellan,113.46,1.8258333333333328,13.34,0.0,6.2,69.96841666666666,20.109002354704852,20.109002354704852,,,,,,20.5,Risky
Javonte Williams,513.4,4.06,345.15,0.02,52.08,164.13499999999982,47.17258527106127,47.17258527106127,79.33333333333333,4.932882862316246,3.0,93.78208050402893,54.71264367816092,61.5,Flex
Jaylen Warren,510.86,1.2,311.39,0.0,37.96,134.54400000000015,38.66809828927214,38.66809828927214,64.5,28.991378028648448,2.0,55.05212778423299,44.48275862068966,44.8,Depth
Jaylen Wright,248.02,1.63,20.85,0.0,6.14,72.75900000000006,20.911019171640135,20.911019171640135,,,,,,20.9,Risky
Jeff Wilson,143.47,1.728333333333333,18.64,0.0,6.09,70.16586904761907,20.16575039307237,20.16575039307237,54.75,14.221462653327892,4.0,74.02472622178054,37.75862068965517,39.8,Risky
Jeremy McNichols,243.16,4.0,27.29,0.0,10.418,78.92864285714288,22.68418153049452,22.68418153049452,,,,,,21.6,Risky
Jermar Jefferson,110.1,1.823809523809524,14.92,0.3791666666666667,6.21,68.97932142857142,19.82473526078675,19.82473526078675,,,,,,20.4,Risky
Jerome Ford,563.09,3.0,224.39,0.0,36.95,134.888,38.76696427966564,38.76696427966564,76.5,30.405591591021544,2.0,60.254129158741385,52.758620689655174,49.0,Depth
Joe Mixon,1013.68,10.99,310.41,1.0,35.98,230.26966666666664,66.1797635249776,66.1797635249776,105.8,35.835736353534024,5.0,66.12879393684123,72.9655172413793,68.5,Flex
Jonathan Taylor,1489.51,11.03,137.08,0.90525,17.916666666666668,259.55800000000016,74.59726376328109,74.59726376328109,95.4,41.98571185534431,5.0,55.989820319452285,65.79310344827587,66.9,Flex
Jonathan Ward,117.97,2.071428571428571,13.66,0.0,6.24,68.45474999999999,19.673972836897583,19.673972836897583,,,,,,20.4,Risky
