Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
Travis Kelce,33.0,TE,17.0,17.0,2.0,5.0,0.0,1.0,152.0,110.0,1338.0,12.0,1.0
T.J. Hockenson,25.0,TE,17.0,14.0,0.0,0.0,0.0,1.0,129.0,86.0,914.0,6.0,1.0
T.J. Hockenson,25.0,TE,17.0,14.0,0.0,0.0,0.0,1.0,129.0,86.0,914.0,6.0,1.0
T.J. Hockenson,25.0,TE,17.0,14.0,0.0,0.0,0.0,0.0,129.0,86.0,914.0,6.0,1.0
Mark Andrews,27.0,TE,15.0,15.0,3.0,8.0,0.0,1.0,113.0,73.0,847.0,5.0,1.0
Evan Engram,28.0,TE,17.0,14.0,2.0,13.0,0.0,0.0,98.0,73.0,766.0,4.0,0.0
George Kittle,29.0,TE,15.0,15.0,0.0,0.0,0.0,1.0,86.0,60.0,765.0,11.0,1.0
Pat Freiermuth,24.0,TE,16.0,8.0,0.0,0.0,0.0,0.0,98.0,63.0,732.0,2.0,0.0
Dallas Goedert,27.0,TE,12.0,12.0,0.0,0.0,0.0,1.0,69.0,55.0,702.0,3.0,1.0
David Njoku,26.0,TE,14.0,14.0,2.0,-8.0,0.0,1.0,80.0,58.0,628.0,4.0,1.0
Tyler Higbee,29.0,TE,17.0,17.0,0.0,0.0,0.0,0.0,108.0,72.0,620.0,3.0,0.0
Dalton Schultz,26.0,TE,15.0,15.0,0.0,0.0,0.0,1.0,89.0,57.0,577.0,5.0,1.0
Gerald Everett,28.0,TE,16.0,11.0,1.0,0.0,0.0,0.0,87.0,58.0,555.0,4.0,0.0
Tyler Conklin,27.0,TE,17.0,16.0,2.0,3.0,0.0,2.0,87.0,58.0,552.0,3.0,2.0
Cole Kmet,23.0,TE,17.0,17.0,2.0,9.0,0.0,1.0,69.0,50.0,544.0,7.0,1.0
T.J. Hockenson,25.0,TE,10.0,7.0,0.0,0.0,0.0,1.0,86.0,60.0,519.0,3.0,1.0
T.J. Hockenson,25.0,TE,10.0,7.0,0.0,0.0,0.0,0.0,86.0,60.0,519.0,3.0,1.0
T.J. Hockenson,25.0,TE,10.0,7.0,0.0,0.0,0.0,1.0,86.0,60.0,519.0,3.0,1.0
Dawson Knox,26.0,TE,15.0,15.0,0.0,0.0,0.0,0.0,65.0,48.0,517.0,6.0,0.0
Hunter Henry,28.0,TE,17.0,14.0,0.0,0.0,0.0,0.0,59.0,41.0,509.0,2.0,0.0
Juwan Johnson,26.0,TE,16.0,12.0,0.0,0.0,0.0,0.0,65.0,42.0,508.0,7.0,0.0
Jordan Akins,30.0,TE,15.0,3.0,0.0,0.0,0.0,1.0,54.0,37.0,495.0,5.0,1.0
Noah Fant,25.0,TE,17.0,16.0,0.0,0.0,0.0,0.0,63.0,50.0,486.0,4.0,0.0
Robert Tonyan,28.0,TE,17.0,3.0,0.0,0.0,0.0,0.0,67.0,53.0,470.0,2.0,0.0
Chigoziem Okonkwo,23.0,TE,17.0,8.0,3.0,2.0,0.0,0.0,46.0,32.0,450.0,3.0,0.0
Austin Hooper,28.0,TE,17.0,2.0,0.0,0.0,0.0,0.0,60.0,41.0,444.0,2.0,0.0
Foster Moreau,25.0,TE,15.0,14.0,0.0,2.0,0.0,1.0,54.0,33.0,420.0,2.0,1.0
Hayden Hurst,29.0,TE,13.0,13.0,0.0,0.0,0.0,0.0,68.0,52.0,414.0,2.0,0.0
Greg Dulcich,22.0,TE,10.0,6.0,0.0,0.0,0.0,0.0,55.0,33.0,411.0,2.0,0.0
Zach Ertz,32.0,TE,10.0,10.0,0.0,0.0,0.0,0.0,69.0,47.0,406.0,4.0,0.0
