rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
552.0,Adam Trautman,26.0,17.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,191.0,26.0,17.0,12.0,35.0,22.0,204.0,9.3,3.0,10.0,51.4,24.0,1.3,12.0,62.9,5.8,0.0,
489.0,Albert Okwuegbunam,25.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,534.0,25.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
488.0,Andrew Ogletree,25.0,12.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,299.0,25.0,12.0,9.0,21.0,9.0,147.0,16.3,2.0,8.0,38.1,33.0,0.8,12.3,42.9,7.0,0.0,
426.0,Austin Hooper,29.0,17.0,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,171.0,29.0,17.0,9.0,31.0,25.0,234.0,9.4,0.0,12.0,61.3,21.0,1.5,13.8,80.6,7.5,0.0,
524.0,Ben Sims,23.0,17.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,373.0,23.0,17.0,1.0,6.0,4.0,21.0,5.3,1.0,3.0,66.7,12.0,0.2,1.2,66.7,3.5,0.0,
357.0,Blake Bell,32.0,17.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,338.0,32.0,17.0,3.0,9.0,5.0,26.0,5.2,1.0,1.0,44.4,8.0,0.3,1.5,55.6,2.9,1.0,
539.0,Brenton Strange,23.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,354.0,23.0,14.0,4.0,9.0,5.0,35.0,7.0,1.0,2.0,22.2,17.0,0.4,2.5,55.6,3.9,0.0,
450.0,Brevin Jordan,23.0,14.0,6.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,224.0,23.0,14.0,6.0,21.0,17.0,219.0,12.9,2.0,13.0,81.0,27.0,1.2,15.6,81.0,10.4,0.0,
576.0,Brock Wright,25.0,14.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,266.0,25.0,14.0,4.0,14.0,13.0,91.0,7.0,1.0,2.0,64.3,25.0,0.9,6.5,92.9,6.5,0.0,
427.0,Brycen Hopkins,26.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,343.0,26.0,15.0,0.0,7.0,5.0,78.0,15.6,0.0,3.0,57.1,29.0,0.3,5.2,71.4,11.1,0.0,
556.0,C.J. Uzomah,30.0,12.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,312.0,30.0,12.0,8.0,12.0,8.0,58.0,7.3,1.0,5.0,58.3,19.0,0.7,4.8,66.7,4.8,0.0,
494.0,Cade Otton,24.0,17.0,17.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,90.0,24.0,17.0,17.0,67.0,47.0,455.0,9.7,4.0,22.0,49.3,27.0,2.8,26.8,70.1,6.8,1.0,
457.0,Charlie Kolar,24.0,15.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,320.0,24.0,15.0,3.0,9.0,7.0,87.0,12.4,1.0,5.0,77.8,19.0,0.5,5.8,77.8,9.7,0.0,
575.0,Charlie Woerner,26.0,17.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,396.0,26.0,17.0,2.0,3.0,3.0,32.0,10.7,0.0,1.0,66.7,20.0,0.2,1.9,100.0,10.7,0.0,
279.0,Chigoziem Okonkwo,24.0,17.0,11.0,2.0,6.0,0.0,1.0,50.0,4.0,3.0,0.4,0.1,0.0,,70.0,24.0,17.0,11.0,77.0,54.0,528.0,9.8,1.0,25.0,48.1,39.0,3.2,31.1,70.1,6.9,0.0,
467.0,Chris Manhertz,31.0,16.0,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,404.0,31.0,16.0,4.0,4.0,2.0,16.0,8.0,0.0,1.0,50.0,10.0,0.1,1.0,50.0,4.0,0.0,
497.0,Colby Parkinson,24.0,17.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,175.0,24.0,17.0,1.0,34.0,25.0,247.0,9.9,2.0,11.0,52.9,27.0,1.5,14.5,73.5,7.3,0.0,
406.0,Cole Fotheringham,26.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,430.0,26.0,2.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,100.0,6.0,0.5,3.0,100.0,6.0,0.0,
248.0,Cole Kmet,24.0,17.0,17.0,3.0,2.0,0.0,2.0,66.7,1.0,0.7,0.1,0.2,1.0,,35.0,24.0,17.0,17.0,90.0,73.0,719.0,9.8,6.0,36.0,62.2,53.0,4.3,42.3,81.1,8.0,1.0,
555.0,Cole Turner,23.0,12.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,286.0,23.0,12.0,1.0,15.0,11.0,120.0,10.9,0.0,4.0,60.0,29.0,0.9,10.0,73.3,8.0,0.0,
308.0,Connor Heyward,24.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,180.0,24.0,17.0,7.0,34.0,23.0,167.0,7.3,0.0,8.0,47.1,13.0,1.4,9.8,67.6,4.9,0.0,
301.0,Dallas Goedert,28.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,58.0,28.0,14.0,14.0,83.0,59.0,592.0,10.0,3.0,33.0,60.2,49.0,4.2,42.3,71.1,7.1,0.0,
453.0,Dalton Kincaid,24.0,16.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,34.0,24.0,16.0,11.0,91.0,73.0,673.0,9.2,2.0,29.0,61.5,51.0,4.6,42.1,80.2,7.4,1.0,
521.0,Dalton Schultz,27.0,15.0,8.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,61.0,27.0,15.0,8.0,88.0,59.0,635.0,10.8,5.0,35.0,52.3,31.0,3.9,42.3,67.0,7.2,1.0,
360.0,Daniel Bellinger,23.0,17.0,13.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,170.0,23.0,17.0,13.0,28.0,25.0,255.0,10.2,0.0,6.0,39.3,26.0,1.5,15.0,89.3,9.1,0.0,
562.0,Darnell Washington,22.0,17.0,7.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,323.0,22.0,17.0,7.0,10.0,7.0,61.0,8.7,0.0,4.0,60.0,12.0,0.4,3.6,70.0,6.1,0.0,
561.0,Darren Waller,31.0,12.0,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,75.0,31.0,12.0,11.0,74.0,52.0,552.0,10.6,1.0,25.0,56.8,29.0,4.3,46.0,70.3,7.5,0.0,
487.0,David Njoku,27.0,16.0,16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,PB,21.0,27.0,16.0,16.0,123.0,81.0,882.0,10.9,6.0,35.0,43.9,43.0,5.1,55.1,65.9,7.2,2.0,PB
566.0,David Wells,28.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,416.0,28.0,5.0,0.0,2.0,2.0,-10.0,-5.0,0.0,1.0,50.0,1.0,0.4,-2.0,100.0,-5.0,1.0,
353.0,Davis Allen,22.0,15.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,287.0,22.0,15.0,1.0,11.0,10.0,95.0,9.5,1.0,7.0,81.8,21.0,0.7,6.3,90.9,8.6,0.0,
