player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
AJ Barner,318.71,4.093714285714286,30.2,94.28400000000003,35.93249794201043,35.93249794201043,,,,,,26.9,Risky
Adam Trautman,223.72,2.668688311688312,26.49,80.17899999999999,30.55695295588278,30.55695295588278,,,,,,24.7,Risky
Andrew Ogletree,223.96,1.5806147186147186,26.61,79.797,30.41136924906246,30.41136924906246,,,,,,24.7,Risky
Austin Hooper,475.82,3.081666666666667,44.87,111.8630000000001,42.63201622000673,42.63201622000673,62.0,8.54400374531753,3.0,86.21934902014353,41.722745625841185,53.2,Depth
Baylor Cupp,208.63,1.659027417027417,26.43,83.50099999999995,31.82299765236742,31.82299765236742,,,,,,25.2,Risky
Ben Sims,224.3,0.7556147186147187,26.52,79.23499999999999,30.197185889813692,30.197185889813692,,,,,,24.6,Risky
Ben Sinnott,220.46,1.5806147186147186,26.33,81.74899999999998,31.155294368730736,31.155294368730736,,,,,,25.0,Risky
Blake Whiteheart,220.15,1.5506147186147188,26.23,81.51199999999997,31.0649714930333,31.0649714930333,,,,,,24.9,Risky
Brayden Willis,216.24,0.8516147186147185,26.49,82.09499999999997,31.287158145065376,31.287158145065376,,,,,,25.0,Risky
Brenden Bates,207.01,1.659027417027417,26.43,83.64899999999997,31.8794018110308,31.8794018110308,,,,,,25.3,Risky
Brenton Strange,412.75,2.0,39.68,88.29899999999994,33.65155949876517,33.65155949876517,,,,,,26.0,Risky
Brevin Jordan,212.06,1.603027417027417,26.16,84.41099999999997,32.169807006311146,32.169807006311146,,,,,,25.4,Risky
Brevyn Spann-Ford,220.76,0.7556147186147187,26.33,81.13499999999998,30.921293332113763,30.921293332113763,,,,,,24.9,Risky
Brock Bowers,1180.3,4.853111111111112,110.97,262.3920000000001,100.0,100.0,142.0,0.0,1.0,100.0,95.5585464333782,98.4,Elite
Brock Wright,224.15,2.5615194805194808,26.58,80.699,30.755129729564914,30.755129729564914,,,,,,24.8,Risky
Cade Otton,601.4,3.9932500000000006,59.172,142.04786363636376,54.13574485364025,54.13574485364025,77.0,8.48528137423857,2.0,88.98015420254531,51.81695827725438,62.0,Flex
Cade Stover,223.52,1.5725036075036072,26.41,80.87499999999999,30.822204945272702,30.822204945272702,,,,,,24.8,Risky
Cam Grandy,223.64,0.7906147186147185,26.42,83.39399999999998,31.782218970090533,31.782218970090533,,,,,,25.2,Risky
Charlie Kolar,218.95,1.53634126984127,26.47,79.23499999999996,30.19718588981368,30.19718588981368,,,,,,24.6,Risky
Charlie Woerner,220.02,0.8346147186147188,26.26,80.98999999999998,30.866032500990865,30.866032500990865,,,,,,24.8,Risky
Chigoziem Okonkwo,478.12,2.0,52.11,113.30250000000012,43.18062288484408,43.18062288484408,58.0,7.211102550927978,3.0,87.56706478172651,39.03095558546433,52.8,Depth
