rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
365.0,A.J. Brown,26.0,17.0,17.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,"PB,AP-2",8.0,26.0,17.0,17.0,158.0,106.0,1456.0,13.7,7.0,70.0,56.3,59.0,6.2,85.6,67.1,9.2,2.0,"PB,AP-2"
500.0,A.T. Perry,24.0,10.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,271.0,24.0,10.0,3.0,18.0,12.0,246.0,20.5,4.0,10.0,61.1,44.0,1.2,24.6,66.7,13.7,0.0,
335.0,Adam Thielen,33.0,17.0,17.0,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.4,0.1,2.0,,11.0,33.0,17.0,17.0,137.0,103.0,1014.0,9.8,4.0,56.0,58.4,32.0,6.1,59.6,75.2,7.4,2.0,
502.0,Alec Pierce,23.0,17.0,16.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,138.0,23.0,17.0,16.0,65.0,32.0,514.0,16.1,2.0,24.0,46.2,58.0,1.9,30.2,49.2,7.9,0.0,
397.0,Alex Erickson,31.0,8.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,232.0,31.0,8.0,3.0,29.0,16.0,232.0,14.5,1.0,12.0,48.3,27.0,2.0,29.0,55.2,8.0,0.0,
461.0,Allen Lazard,28.0,14.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,182.0,28.0,14.0,12.0,49.0,23.0,311.0,13.5,1.0,17.0,40.8,39.0,1.6,22.2,46.9,6.3,0.0,
513.0,Allen Robinson,30.0,17.0,17.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,130.0,30.0,17.0,17.0,49.0,34.0,280.0,8.2,0.0,9.0,44.9,31.0,2.0,16.5,69.4,5.7,0.0,
379.0,Amari Cooper,29.0,15.0,15.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,PB,36.0,29.0,15.0,15.0,128.0,72.0,1250.0,17.4,5.0,50.0,53.1,75.0,4.8,83.3,56.3,9.8,2.0,PB
514.0,Amari Rodgers,24.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,542.0,24.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
235.0,Amon-Ra St. Brown,24.0,16.0,16.0,4.0,24.0,0.0,2.0,75.0,11.0,6.0,1.5,0.3,1.0,"PB,AP-1",3.0,24.0,16.0,16.0,164.0,119.0,1515.0,12.7,10.0,75.0,61.6,70.0,7.4,94.7,72.6,9.2,1.0,"PB,AP-1"
433.0,Andrei Iosivas,24.0,16.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,244.0,24.0,16.0,1.0,25.0,15.0,116.0,7.7,4.0,11.0,60.0,16.0,0.9,7.3,60.0,4.6,0.0,
412.0,Antoine Green,24.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,434.0,24.0,9.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.1,0.2,50.0,1.0,0.0,
