Player,Age,Pos,G,GS,Rush Atts,Rush Yards,Rush TDs,Rush Fmb,Targets,Receptions,Rec Yards,Rec TDs,Rec Fmb
CeeDee Lamb,24.0,WR,17.0,17.0,14.0,113.0,2.0,3.0,181.0,135.0,1749.0,12.0,3.0
Tyreek Hill,29.0,WR,16.0,16.0,6.0,15.0,0.0,1.0,171.0,119.0,1799.0,13.0,1.0
Puka Nacua,22.0,WR,17.0,17.0,12.0,89.0,0.0,1.0,160.0,105.0,1486.0,6.0,1.0
Amon-Ra St. Brown,24.0,WR,16.0,16.0,4.0,24.0,0.0,1.0,164.0,119.0,1515.0,10.0,1.0
A.J. Brown,26.0,WR,17.0,17.0,0.0,0.0,0.0,2.0,158.0,106.0,1456.0,7.0,2.0
D.J. Moore,26.0,WR,17.0,17.0,4.0,21.0,1.0,1.0,136.0,96.0,1364.0,8.0,1.0
Brandon Aiyuk,25.0,WR,16.0,16.0,0.0,0.0,0.0,1.0,105.0,75.0,1342.0,7.0,1.0
Nico Collins,24.0,WR,15.0,10.0,1.0,7.0,0.0,1.0,109.0,80.0,1297.0,8.0,1.0
Mike Evans,30.0,WR,17.0,17.0,0.0,0.0,0.0,0.0,136.0,79.0,1255.0,13.0,0.0
Amari Cooper,29.0,WR,15.0,15.0,0.0,0.0,0.0,2.0,128.0,72.0,1250.0,5.0,2.0
Keenan Allen,31.0,WR,13.0,13.0,2.0,6.0,0.0,2.0,150.0,108.0,1243.0,7.0,2.0
Ja'Marr Chase,23.0,WR,16.0,16.0,3.0,-6.0,0.0,1.0,145.0,100.0,1216.0,7.0,1.0
Stefon Diggs,30.0,WR,17.0,17.0,1.0,5.0,0.0,2.0,160.0,107.0,1183.0,8.0,2.0
George Pickens,22.0,WR,17.0,16.0,3.0,18.0,0.0,3.0,106.0,63.0,1140.0,5.0,3.0
Michael Pittman Jr.,26.0,WR,16.0,15.0,0.0,0.0,0.0,2.0,156.0,109.0,1152.0,4.0,2.0
Davante Adams,31.0,WR,17.0,17.0,0.0,0.0,0.0,0.0,175.0,103.0,1144.0,8.0,0.0
