player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
A.J. Brown,1080.63,7.0,67.19,215.6304761904764,55.78925101109582,128.0,26.105554964413226,5.0,79.60503534338783,76.30402384500745,68.9,Flex
Adam Thielen,615.78,5.0,48.06,140.425,36.33162487807528,119.2,29.575327555244424,5.0,75.18848380274392,71.05812220566318,58.2,Depth
Adonai Mitchell,313.87,0.5,25.29,78.81599999999999,20.39176319309511,,,,,,20.7,Risky
Ainias Smith,145.61,1.17,25.14,69.82699999999996,18.066073493760804,,,,,,19.7,Risky
Alec Pierce,823.59,7.0,36.93,167.31399999999988,43.288513333454034,58.666666666666664,18.175074506954115,3.0,69.01975989121867,34.97267759562842,46.8,Depth
Alex Bachman,158.81,4.68,25.04,73.59999999999998,19.04224739915499,,,,,,20.1,Risky
Allen Lazard,528.12,6.0,37.0,123.85799999999996,32.04530812995298,92.0,5.656854249492381,2.0,93.85124544782083,54.843517138599104,55.5,Depth
Allen Robinson,190.4,1.1542857142857144,25.0,71.89799999999995,18.601895428049524,138.0,0.0,1.0,100.0,82.26527570789865,61.2,Flex
Amari Cooper,547.0,4.0,44.0,122.46000000000016,31.683608919844076,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,50.5,Depth
Amari Cooper,250.0,4.0,44.0,93.0,24.061535436432266,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,47.5,Depth
Amari Cooper,297.0,4.0,44.0,97.702,25.278065970003283,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,48.0,Depth
Amari Cooper,547.0,4.0,44.0,122.70000000000016,31.74570320484132,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,50.6,Depth
Amari Cooper,250.0,4.0,44.0,92.905,24.036956448620856,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,47.5,Depth
Amari Cooper,297.0,4.0,44.0,97.70000000000002,25.277548517628308,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,48.0,Depth
Amari Cooper,547.0,4.0,44.0,122.70000000000016,31.74570320484132,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,50.6,Depth
Amari Cooper,250.0,4.0,44.0,93.0,24.061535436432266,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,47.5,Depth
Amari Cooper,297.0,4.0,44.0,97.70000000000002,25.277548517628308,96.57142857142857,28.159410166982916,7.0,70.84084776216868,57.56866084734937,48.0,Depth
Amon-Ra St. Brown,1268.29,12.12,115.21,305.1040000000003,78.93839470749718,158.5,29.2175746198528,4.0,81.56619909431242,94.48584202682562,85.0,Elite
Andrei Iosivas,478.66,6.0,35.67,112.633,29.141106675394358,,,,,,24.2,Risky
Anthony Gould,190.34,0.94,24.94,73.02099999999999,18.89244493659914,,,,,,20.1,Risky
Anthony Miller,168.12,6.027268759018759,24.76,75.14499999999997,19.441979358824753,61.0,0.0,1.0,100.0,36.36363636363637,45.5,Depth
Ashton Dulin,188.96,1.1242857142857143,24.75,70.52999999999996,18.24795800356523,,,,,,19.8,Risky
Austin Trammell,182.35,5.985602092352092,25.1,84.44699999999995,21.84865035484295,,,,,,21.2,Risky
Ben Skowronek,199.75,0.94,25.26,73.02299999999998,18.892962388974116,,,,,,20.1,Risky
Bo Melton,182.17,1.0142857142857142,24.85,73.30799999999994,18.966699352408334,,,,,,20.1,Risky
Brandin Cooks,286.74,3.24,26.76,93.79299999999996,24.26670530311065,105.0,22.315913604421397,4.0,78.746749150582,62.59314456035767,51.3,Depth
Brandon Aiyuk,329.93,0.41,26.37,94.96200000000006,24.569156216284753,107.75,17.557049866079435,4.0,83.70575433583575,64.23248882265275,53.2,Depth
Brandon Johnson,159.5,5.902268759018758,25.2,76.07699999999997,19.68311216556405,,,,,,20.4,Risky
Brandon Powell,194.15,0.98,25.01,73.51199999999999,19.019479494656004,,,,,,20.1,Risky
Braxton Berrios,163.27,4.55,25.08,69.42299999999997,17.961548114015446,,,,,,19.7,Risky
Brian Thomas,1278.92,10.06,87.02,281.943,72.9460374790755,147.0,0.0,1.0,100.0,87.63040238450075,84.8,Elite
Britain Covey,155.84,4.5,25.19,73.22499999999997,18.945225078846796,,,,,,20.1,Risky
Bryce Oliver,199.08,0.9142857142857144,25.31,72.91999999999999,18.866313591662802,,,,,,20.0,Risky
Brycen Tremayne,156.53,5.80226875901876,25.25,72.34299999999996,18.717028581481916,,,,,,20.0,Risky
Bub Means,163.04,1.1933333333333334,25.17,72.96199999999996,18.877180091537312,,,,,,20.1,Risky
Calvin Austin III,548.36,4.01,35.8,117.68199999999992,30.44741519602387,60.0,0.0,1.0,100.0,35.767511177347245,49.7,Depth
Calvin Ridley,1015.66,4.0,63.94,204.96300000000025,53.02929556620938,120.66666666666667,25.166114784235834,3.0,79.14410394280922,71.9324391455539,66.2,Flex
Casey Washington,185.59,1.0042857142857142,25.2,72.21999999999997,18.685205260420833,,,,,,20.0,Risky
Cedric Tillman,316.39,3.22,28.41,101.48,26.255533506334906,,,,,,23.0,Risky
Cedrick Wilson Jr.,242.92,1.24,25.17,79.23499999999999,20.5001694656528,81.0,0.0,1.0,100.0,48.28614008941878,50.1,Depth
CeeDee Lamb,1196.01,6.0,100.43,258.06771428571454,66.76887583101933,148.4,44.337343177055615,5.0,70.12308431382314,88.46497764530552,75.2,Starter
Charlie Jones,182.61,1.1,25.2,73.34099999999998,18.975237316595464,,,,,,20.1,Risky
Chris Blair,163.17,5.985602092352092,25.14,74.37799999999996,19.24353637302105,,,,,,20.2,Risky
Chris Conley,197.07,0.9742857142857144,24.93,71.98899999999998,18.625439511110987,,,,,,20.0,Risky
Chris Godwin,574.96,5.01,50.21,134.1539999999999,34.709152956334755,108.8,20.632498636859278,5.0,81.03630657424416,64.85842026825634,56.8,Depth
